20211126-195808<DEBUG:00008290>: [PrevInitCore]:1, start tickers = 25501496771475
20211126-195809<ERROR:00008290>: GetString(2, Level) failed !
20211126-195809<ERROR:00008290>: GetString(3, Level) failed !
20211126-195809<ERROR:00008290>: GetString(4, Level) failed !
20211126-195809<ERROR:00008290>: GetString(5, Level) failed !
20211126-195809<ERROR:00008290>: GetString(6, Level) failed !
20211126-195809<ERROR:00008290>: GetString(7, Level) failed !
20211126-195809<ERROR:00008290>: GetString(8, Level) failed !
20211126-195809<ERROR:00008290>: GetString(9, Level) failed !
20211126-195809<ERROR:00008290>: GetString(10, Level) failed !
20211126-195809<ERROR:00008290>: GetString(11, Level) failed !
20211126-195809<ERROR:00008290>: GetString(12, Level) failed !
20211126-195809<ERROR:00008290>: GetString(13, Level) failed !
20211126-195809<ERROR:00008290>: GetString(14, Level) failed !
20211126-195809<ERROR:00008290>: GetString(15, Level) failed !
20211126-195809<ERROR:00008290>: GetString(16, Level) failed !
20211126-195809<ERROR:00008290>: GetString(17, Level) failed !
20211126-195809<DEBUG:00008290>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1888526388
20211126-195809<DEBUG:00008290>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-195813<DEBUG:00008290>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-195813<ERROR:00008290>: GetInteger(12, 1) failed !
20211126-195814<DEBUG:00008290>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-195814<DEBUG:00008290>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-195814<ERROR:00008290>: Script stack leak! (2)
20211126-195833<DEBUG:00008290>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-195834<ERROR:00008290>: GetInteger(141, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(141, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(141, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(141, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(142, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(142, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(142, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(142, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(143, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(143, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(143, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(143, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(144, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(144, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(144, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(144, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(145, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(145, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(145, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(145, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(146, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(146, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(146, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(146, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(147, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(147, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(147, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(147, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(148, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(148, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(148, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(148, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(149, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(149, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(149, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(149, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(150, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(150, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(150, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(150, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(151, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(151, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(151, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(151, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(152, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(152, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(152, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(152, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(153, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(153, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(153, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(153, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(154, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(154, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(154, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(154, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(155, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(155, Point_x) failed !
20211126-195834<ERROR:00008290>: GetInteger(155, Point_y) failed !
20211126-195834<ERROR:00008290>: GetString(155, Content) failed !
20211126-195834<ERROR:00008290>: GetInteger(156, Type) failed !
20211126-195834<ERROR:00008290>: GetInteger(156, Point_x) failed !
