20211126-201856<DEBUG:00009ECC>: [PrevInitCore]:1, start tickers = 30513049631409
20211126-201857<ERROR:00009ECC>: GetString(2, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(3, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(4, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(5, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(6, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(7, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(8, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(9, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(10, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(11, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(12, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(13, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(14, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(15, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(16, Level) failed !
20211126-201857<ERROR:00009ECC>: GetString(17, Level) failed !
20211126-201857<DEBUG:00009ECC>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1819959156
20211126-201857<DEBUG:00009ECC>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-201902<DEBUG:00009ECC>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-201902<ERROR:00009ECC>: GetInteger(12, 1) failed !
20211126-201903<DEBUG:00009ECC>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-201903<DEBUG:00009ECC>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-201903<ERROR:00009ECC>: Script stack leak! (2)
20211126-201925<DEBUG:00009ECC>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-201926<ERROR:00009ECC>: GetInteger(141, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(141, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(141, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(141, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(142, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(142, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(142, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(142, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(143, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(143, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(143, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(143, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(144, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(144, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(144, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(144, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(145, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(145, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(145, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(145, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(146, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(146, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(146, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(146, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(147, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(147, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(147, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(147, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(148, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(148, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(148, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(148, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(149, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(149, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(149, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(149, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(150, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(150, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(150, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(150, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(151, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(151, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(151, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(151, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(152, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(152, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(152, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(152, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(153, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(153, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(153, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(153, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(154, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(154, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(154, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(154, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(155, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(155, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(155, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(155, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(156, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(156, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(156, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(156, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(157, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(157, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(157, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(157, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(158, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(158, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(158, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(158, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(159, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(159, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(159, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(159, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(160, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(160, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(160, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(160, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(161, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(161, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(161, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(161, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(162, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(162, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(162, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(162, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(163, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(163, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(163, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(163, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(164, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(164, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(164, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(164, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(165, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(165, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(166, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(166, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Point_x) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(167, Point_y) failed !
20211126-201926<ERROR:00009ECC>: GetString(167, Content) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(168, Type) failed !
20211126-201926<ERROR:00009ECC>: GetInteger(168, Point_x) failed !
