20211126-202220<DEBUG:0000A97C>: [PrevInitCore]:1, start tickers = 32526009685578
20211126-202221<ERROR:0000A97C>: GetString(2, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(3, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(4, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(5, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(6, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(7, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(8, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(9, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(10, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(11, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(12, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(13, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(14, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(15, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(16, Level) failed !
20211126-202221<ERROR:0000A97C>: GetString(17, Level) failed !
20211126-202221<DEBUG:0000A97C>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1865118147
20211126-202221<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-202225<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202226<ERROR:0000A97C>: GetInteger(12, 1) failed !
20211126-202226<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-202226<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-202227<ERROR:0000A97C>: Script stack leak! (2)
20211126-202244<DEBUG:0000A97C>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-202244<ERROR:0000A97C>: GetInteger(141, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(141, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(141, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(141, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(142, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(142, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(142, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(142, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(143, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(143, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(143, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(143, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(144, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(144, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(144, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(144, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(145, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(145, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(145, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(145, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(146, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(146, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(146, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(146, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(147, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(147, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(147, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(147, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(148, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(148, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(148, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(148, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(149, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(149, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(149, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(149, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(150, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(150, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(150, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(150, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(151, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(151, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(151, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(151, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(152, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(152, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(152, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(152, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(153, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(153, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(153, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(153, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(154, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(154, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(154, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(154, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(155, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(155, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(155, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(155, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(156, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(156, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(156, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(156, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(157, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(157, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(157, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(157, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(158, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(158, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(158, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(158, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(159, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(159, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(159, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(159, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(160, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(160, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(160, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(160, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(161, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(161, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(161, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(161, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(162, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(163, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(164, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(165, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(166, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(167, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(168, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(169, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(170, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(171, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(171, Point_x) failed !
