20211126-203941<DEBUG:00009D58>: [PrevInitCore]:1, start tickers = 35333636303736
20211126-203941<ERROR:00009D58>: GetString(2, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(3, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(4, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(5, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(6, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(7, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(8, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(9, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(10, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(11, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(12, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(13, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(14, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(15, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(16, Level) failed !
20211126-203941<ERROR:00009D58>: GetString(17, Level) failed !
20211126-203941<DEBUG:00009D58>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1905650988
20211126-203942<DEBUG:00009D58>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-203946<DEBUG:00009D58>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-203946<ERROR:00009D58>: GetInteger(12, 1) failed !
20211126-203947<DEBUG:00009D58>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-203947<DEBUG:00009D58>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-203947<ERROR:00009D58>: Script stack leak! (2)
20211126-204006<DEBUG:00009D58>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-204006<ERROR:00009D58>: GetInteger(141, Type) failed !
20211126-204006<ERROR:00009D58>: GetInteger(141, Point_x) failed !
20211126-204006<ERROR:00009D58>: GetInteger(141, Point_y) failed !
20211126-204006<ERROR:00009D58>: GetString(141, Content) failed !
20211126-204006<ERROR:00009D58>: GetInteger(142, Type) failed !
20211126-204006<ERROR:00009D58>: GetInteger(142, Point_x) failed !
20211126-204006<ERROR:00009D58>: GetInteger(142, Point_y) failed !
20211126-204006<ERROR:00009D58>: GetString(142, Content) failed !
20211126-204006<ERROR:00009D58>: GetInteger(143, Type) failed !
20211126-204006<ERROR:00009D58>: GetInteger(143, Point_x) failed !
20211126-204006<ERROR:00009D58>: GetInteger(143, Point_y) failed !
20211126-204006<ERROR:00009D58>: GetString(143, Content) failed !
