20211126-204737<DEBUG:0000B8D0>: [PrevInitCore]:1, start tickers = 36146178494700
20211126-204738<ERROR:0000B8D0>: GetString(2, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(3, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(4, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(5, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(6, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(7, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(8, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(9, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(10, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(11, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(12, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(13, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(14, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(15, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(16, Level) failed !
20211126-204738<ERROR:0000B8D0>: GetString(17, Level) failed !
20211126-204738<DEBUG:0000B8D0>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 1821484761
20211126-204738<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nCount >= 3) at line 69 in _g_GetColorValue
20211126-204742<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-204743<ERROR:0000B8D0>: GetInteger(12, 1) failed !
20211126-204743<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-204743<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(bRetCode) at line 145 in KUIManage::LoadUiGroup
20211126-204744<ERROR:0000B8D0>: Script stack leak! (2)
20211126-204804<DEBUG:0000B8D0>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Type) failed !
