EventId	PartId	Name	SubKind	ExClass	StartDate	EndDate	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15	ExParam16	ExParam17	ExParam18	ExParam19	ExParam20	ExParam21	ExParam22	ExParam23	ExParam24	ExParam25	_showall
0	0																															
5	1	Nhận nhiệm vụ bái tế anh linh	npc_getaward		0	0	Npc:3566			CheckLevel:60,"Ngươi chưa đạt cấp 60, hãy luyện tập thêm."	CheckTaskDay:1,51,52,"Hôm nay ngươi đã bái tế anh linh rồi, mai hãy quay lại."	CheckTask:53,1,"Ngươi đã nhận nhiệm vụ cúng tế rồi hoặc nhiệm vụ lần trước vẫn chưa giao, hãy xem lại."	CheckFreeBag:1,"Túi không đủ chỗ, cần 1 ô trống."	CheckTask:55,15,"Thời gian hoạt động nhiều nhất chỉ có thể hoàn thành 5 lần nhiệm vụ bái tế anh linh."				AddSelect:"Ta có Lư hương đây, cho ngươi mượn dùng trước. Nếu ngươi có 3 Bánh lá dứa, 3 bó nhang trầm thì có thể ra ngoài thành cúng tế, xong rồi mang "Bánh lá dứa đã cúng" giao cho ta là được. Đồng ý không?", "Ta đồng ý đi bái tế anh linh"	SetTask:53,1	SetMsg:1,"Đây là Lư hương gia truyền của ta, cho ngươi mượn dùng, đừng làm mất đó, mau đi bái tế anh linh nghĩa quân đi, còn kì kèo gì nữa?"	AddItem:"18,1,310,1",1,1,0											
5	2	Ta đã hoàn thành nhiệm vụ bái tế anh linh	npc_getaward		0	0	Npc:3566			CheckItemInBag:"18,1,310,1",1,0,"Ngươi có Lư hương và bánh lá dứa đã cúng tế không? Hãy đưa cho ta xem."	CheckItemInBag:"18,1,311,1",1,0,"Ngươi có Lư hương và bánh lá dứa đã cúng tế không? Hãy đưa cho ta xem."							AddTaskDay:51,52	SetTask:53,0	DelItem:"18,1,310,1",1	DelItem:"18,1,311,1",1	AddItem:"18,1,319,1",1,1,1440	SetMsg:1,"Hoàn thành nhiệm vụ bái tế anh linh."									
5	3	Tìm hiểu hoạt động Tiết Thanh Minh	npc_multdialog		0	0	Npc:3566											SetLayer1Msg:"Ngươi cần tìm hiểu nội dung gì?"	SetLayer2Msg:"Tìm hiểu cách làm bánh lá dứa và nhang trầm", "sau khi hoạt động bắt đầu, thủ lĩnh tinh anh trong game sẽ làm rơi tài liệu kỹ năng sống làm bánh lá dứa, ở chỗ chủ Tửu Lầu có bán. Khả năng học kỹ năng sống đạt cấp 50 thì sẽ có phương pháp như sau:<enter>    Kỹ năng gia công: Nghiền gạo nếp, gia công bánh đậu;<enter>    Kỹ năng chế tạo: Làm bánh lá dứa<enter>    Nếu ngươi có đủ Tinh lực và Hoạt lực thì có thể làm "Bánh lá dứa". Bánh lá dứa dùng để làm nhiệm vụ bái tế anh linh, cũng có thể ăn để nhận kinh nghiệm."	SetLayer2Msg:"Tìm hiểu bánh lá dứa cúng anh linh", "    sau khi hoạt động bắt đầu, chủ Tửu Lầu Đại Lão Bạch sẽ yêu cầu người chơi đi cúng tế hồn nghĩa quân, sau khi đối thoại và nhận nhiệm vụ, sẽ nhận được "Lư hương". Ở bên ngoài sử dụng lư hương có lò cúng tế to, dùng "nhang trầm" ở gần đó sẽ thực hiện nhiệm vụ bái tế anh linh, từ đó sẽ nhận được "Bánh lá dứa cúng tế", giao cho Đại Lão Bạch là nhận được phần thưởng.<enter>    Chú ý: Hoàn thành nhiệm vụ cần 3 bánh lá dứa, 3 bó nhang trầm. nhang trầm có bán ở chủ Tửu Lầu.<enter>    Nhiệm vụ này mỗi ngày 1 lần, tổng cộng có thể tham gia 5 lần."												
5	4	Người chơi sử dụng lư hương	item_useitem		0	0	Item:"xianglu",10080,2,0			CheckInMapType:"fight",0,"Ở bản đồ bên ngoài mới có thể tiến hành hoạt động cúng tế"	CheckTaskCurTime:54,300,0,"Ngươi đã để lư hương ở đâu đó, mau đến đó làm nhiệm vụ cúng tế đi."	CheckTask:53,4,"Hôm nay ngươi đã hoàn thành nhiệm vụ bái tế anh linh, mau đưa "Bánh lá dứa đã cúng tế" cho Đại Lão Bạch xem.",""	CheckDialogNpcAtNear:"Gần đó đã có npc khác, hãy tìm nơi trống khác sử dụng lư hương.."					SetTaskCurTime:54	AddNpcInNear:3640,300,1													
5	5	Người chơi sử dụng nhang trầm	item_useitem		0	0	Item:"chenxiang",0,2,1			CheckNpcAtNear:3640,1,"Bạn cách lư hương quá xa hoặc không đặt lư hương ở gần, không thể cắm nhang trầm vào được, mau đến gần lư hương hoặc đặt lại lư hương."	CheckItemInBag:"18,1,308,1",1,0,"Bái tế anh linh sao lại không có đồ cúng, đi tìm một ít bánh lá dứa đến cúng đi!"	CheckTask:53,4,"Đã hoàn thành nhiệm vụ bái tế anh linh, mau mang "Bánh lá dứa đã cúng tế" giao cho chủ Tửu Lầu Đại Lão Bạch xem.",""	CheckFreeBag:1,"Túi không đủ chỗ, cần 1 ô trống."	CheckTask:55,15,"Thời gian hoạt động nhiều nhất chỉ có thể hoàn thành 5 lần nhiệm vụ bái tế anh linh."	CheckTaskCurTime:57,10,0,"Cúng tế không thể nóng ruột, đợi lát hãy tới."	CheckTaskLt:53,1,"Còn chưa nhận nhiệm vụ bái tế.",""	CheckTaskGotoEvent:53,3,0,6	AddTask:53,1	AddTask:55,1	SetTaskCurTime:57	DelItem:"18,1,308,1",1	AddBaseExp:1350,1	SetMsg:2,"Ngươi đã đốt 1 bó nhang trầm thành công!"									
5	6	Người chơi sử dụng nhang trầm lần thứ 3	default		0	0												SetTask:53,4	AddTask:55,1	DelItem:"18,1,308,1",1	AddItem:"18,1,311,1",1,1,10080	AddBaseExp:1350,1	SetMsg:2,"Ngươi đã hoàn thành nhiệm vụ cúng tế ngày hôm nay! Mau đi tìm Đại Lão Bạch nhận thưởng."	SetMsg:0,"Ngươi đã hoàn thành nhiệm vụ cúng tế ngày hôm nay!"								
5	7	Sử dụng bánh lá dứa [nhận kinh nghiệm]	item_useitem		0	0	Item:"qingtuan",0,0,1			CheckTask:56,50,"Nhiều nhất chỉ có thể ăn 50 bánh lá dứa!"	CheckLevel:50,"Phải đạt cấp 50 mới có thể ăn bánh lá dứa, ngươi chưa đạt cấp 50."							AddTask:56,1	AddBaseExp:60	SetTaskMsg:0,"Ngươi đã sử dụng <color=yellow>%s<color> bánh lá dứa, mỗi nhân vật nhiều nhất sử dụng 50 cái.",56,0,0,0,0												
5	8	Thủ lĩnh tinh anh rơi bánh đậu gạo nếp	boss_dropitem		0	0	DropNpcType:"_JINGYING"	DropNpcType:"_SHOULING"										SetDropItemId:1,6														
5	9	Tiệm vật liệu Tiết Thanh Minh	npc_getaward		0	0	Npc:3566											OpenShop:148,1,100														
