nId	MapId	Name	MinNumber	MaxNumber	Grade	Time	ItemId	GroupModel	Count	AutoOpen	FubenId	ConditionItem	ConditionMapType	TotalTime
1	1693	ÂäÓ¢ËþµÄ´«Ëµ	2	6	90	20	18,1,549,1	1	5	1	1		fight	30
2	1639	TK	1	3										
3	1638	TK	1	3										
4	233	BHD	1	3										
5	234	BHD	1	3										
6	235	BHD	1	3										
7	236	BHD	1	3										
8	237	BHD	1	3										
9	238	BHD	1	3										
10	239	BHD	1	3										
11	240	BHD	1	3										
12	1536	Tlang	1	3										
13	1537	Tlang	1	3										
14	1538	Tlang	1	3										
15	1539	Tlang	1	3										
16	1540	Tlang	1	3										
