WareId	WareName	WareType	nGenre	nDetailType	nParticular	nLevel	nSeries	nCurrencyType	nUseType	nOrgPrice	nWareUseStyle	nDiscount	nRecommend	timeSaleStart	timeSaleClose	DiscountStart	DiscountClose	dwTimeout	nTimeFrameStartSale	nTimeFrameEndSale	Consumed
1	Bạch Câu Hoàn	102	18	1	71	1	1	0		36								43200			100
2	Đại Bạch Câu Hoàn	102	18	1	71	2	1	0		180								43200			100
3	Cường Hiệu Bạch Câu Hoàn	102	18	1	71	3	1	0		540								43200			100
4	Thỏi vàng (đại)	102	18	1	118	2	1	0		100000								43200			0
5	Huyền Tinh Cấp 1	101	18	1	1	1	1	0		1								43200			0
6	Huyền Tinh Cấp 3	101	18	1	1	3	1	0		10								43200			0
7	Huyền Tinh Cấp 5	101	18	1	1	5	1	0		130								43200			0
8	Huyền Tinh thường (cấp 7)	101	18	1	1	7	1	0		1690								43200			0
9	Thỏi vàng	102	18	1	118	1	1	0		830			1					43200			0
10	Thùng rượu (5 bình)	102	18	1	189	1	1	0		30								43200			0
11	Thùng rượu (50 bình)	102	18	1	189	2	1	0		300			1					43200			0
12	Vô Hạn Truyền Tống Phù (1 tuần)	102	18	1	195	1	1	0	1	400			1					10080			0
13	Vô Hạn Truyền Tống Phù (1 tháng)	102	18	1	235	1	1	0	1	1500								43200			0
18	Vô Hạn Hồi Thành Phù (1 tuần)	102	18	1	23	1	1	0	1	200								10080			0
19	Vô Hạn Hồi Thành Phù (1 tháng)	102	18	1	234	1	1	0	1	750								43200			0
22	Càn Khôn Phù (10)	102	18	1	85	1	1	0		200			1					43200			0
24	Lệnh bài triệu hồi gia tộc	102	18	1	87	1	1	0		500			1					43200			0
25	Giấy phép bày bán	102	18	1	116	1	1	0		8								43200			100
26	Cửu Chuyển Tục Mệnh Hoàn	102	18	1	24	1	1	2		100			1								100
27	Lệnh Bài Hình Bộ	102	18	1	17	1	1	0		100								43200			100
28	Từ Bi Tâm Kinh	102	18	1	18	1	1	0		100								43200			100
