Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Ngoại trang] Tỏa Tử Giáp	Khoác	1	1	25	1	2	\image\item\equip\armor\m_kai_202_s.spr	\image\item\equip\armor\m_kai_202.spr	20				1	50000			3	0	upgradeequip	11		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Minh Quang Khải	Khoác	1	1	25	2	2	\image\item\equip\armor\m_kai_204_s.spr	\image\item\equip\armor\m_kai_204.spr	20				1	50000			3	0	upgradeequip	12		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Tế Lân Giáp	Khoác	1	1	25	3	2	\image\item\equip\armor\m_kai_206_s.spr	\image\item\equip\armor\m_kai_206.spr	20				1	50000			3	0	upgradeequip	13		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Tỏa Tử Hoàng Kim Giáp	Khoác	1	1	25	4	2	\image\item\equip\armor\m_kai_208_s.spr	\image\item\equip\armor\m_kai_208.spr	20				1	50000			3	0	upgradeequip	14		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Kính Hoa Khải	Khoác	1	1	25	5	2	\image\item\equip\armor\m_kai_210_s.spr	\image\item\equip\armor\m_kai_210.spr	20				1	50000			3	0	upgradeequip	15		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Thích Khách Trang	Khoác	1	1	25	6	2	\image\item\equip\armor\m_jiayi_302_s.spr	\image\item\equip\armor\m_jiayi_302.spr	20				1	50000			3	0	upgradeequip	6		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Mộng Mị Trang	Khoác	1	1	25	7	2	\image\item\equip\armor\m_jiayi_304_s.spr	\image\item\equip\armor\m_jiayi_304.spr	20				1	50000			3	0	upgradeequip	7		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Tham Lang Trang	Khoác	1	1	25	8	2	\image\item\equip\armor\m_jiayi_306_s.spr	\image\item\equip\armor\m_jiayi_306.spr	20				1	50000			3	0	upgradeequip	8		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Sơn Hồn Trang	Khoác	1	1	25	9	2	\image\item\equip\armor\m_jiayi_308_s.spr	\image\item\equip\armor\m_jiayi_308.spr	20				1	50000			3	0	upgradeequip	9		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
[Ngoại trang] Vô Dung Kình Trang	Khoác	1	1	25	10	2	\image\item\equip\armor\m_jiayi_310_s.spr	\image\item\equip\armor\m_jiayi_310.spr	20				1	50000			3	0	upgradeequip	10		lifemax_v	100	100	-1	-1	0	0								manamax_v	100	100	-1	-1	0	0	deadlystrikeenhance_r	50	50	-1	-1	0	0	deadlystrikedamageenhance_p	10	10	-1	-1	0	0								skilldamageptrim	10	10	-1	-1	0	0	skillselfdamagetrim	10	10	-1	-1	0	0	defencedeadlystrikedamagetrim	10	10	-1	-1	0	0	attackrating_v	200	200	-1	-1	0	0	5	1	8	0																																																									
