Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	RideProp1Type	RideProp1PA1Min	RideProp1PA1Max	RideProp1PA2Min	RideProp1PA2Max	RideProp1PA3Min	RideProp1PA3Max	RideProp2Type	RideProp2PA1Min	RideProp2PA1Max	RideProp2PA2Min	RideProp2PA2Max	RideProp2PA3Min	RideProp2PA3Max	RideProp3Type	RideProp3PA1Min	RideProp3PA1Max	RideProp3PA2Min	RideProp3PA2Max	RideProp3PA3Min	RideProp3PA3Max	RideProp4Type	RideProp4PA1Min	RideProp4PA1Max	RideProp4PA2Min	RideProp4PA2Max	RideProp4PA3Min	RideProp4PA3Max	RideProp5Type	RideProp5PA1Min	RideProp5PA1Max	RideProp5PA2Min	RideProp5PA2Max	RideProp5PA3Min	RideProp5PA3Max	RideProp6Type	RideProp6PA1Min	RideProp6PA1Max	RideProp6PA2Min	RideProp6PA2Max	RideProp6PA3Min	RideProp6PA3Max	UnLockInterval
Mã bài (Phiên Vũ)	Mã bài 120vn (Phiên Vũ)	1	1	12	33	4	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse012.spr	32	Một trong tám con ngựa của Chu Mục Vương, cưỡi mây đạp gió<enter>Nhận được kỹ năng <color=yellow>Di Hình Hoán Ảnh<color>, có thể dùng Vô Hạn Truyền Tống Phù để đến được nhiều nơi hơn		0	1	10000000			4		horse	12	12	damage_all_resist	60	60																																																																				5																																																												fastwalkrun_p	70	70	-1	-1	0	0	lifemax_v	500	500	-1	-1	0	0	armordefense_v	100	100	-1	-1	0	0	staminamax_v	100	100	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
[Thần Thú +1] Tuyết Hồn	Vĩnh viễn không khóa	1	1	12	20041	10	\image\item\equip\horse\horse002_s.spr	\image\item\equip\horse\horse013.spr	32	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	100000000			3		horse	27	27	damage_all_resist	25	25												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	5	5																																								5																																																												fastwalkrun_p	75	75	-1	-1	0	0	lifemax_v	550	550	-1	-1	0	0	armordefense_v	120	120	-1	-1	0	0	staminamax_v	120	120	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +2] Hắc Kỳ Lân	Bảng Phong Vân 2010_Hỏa Kỳ Lân	1	1	12	20040	10	\image\item\equip\horse\huoqilin_s.spr	\image\item\equip\horse\huoqilin.spr	32	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	200000000			3		horse	29	29	damage_all_resist	50	50												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	10	10																																								5																																																												fastwalkrun_p	80	80	-1	-1	0	0	lifemax_v	600	600	-1	-1	0	0	armordefense_v	140	140	-1	-1	0	0	staminamax_v	140	140	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +3] Hắc Mao Sư Vương  	Bôn Tiêu	1	1	12	20084	10	\image\item\equip\horse\wangliang_s.spr	\image\item\equip\horse\wangliang.spr	32	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	300000000			3		horse	43	43	damage_all_resist	75	75												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	15	15																																								5																																																												fastwalkrun_p	85	85	-1	-1	0	0	lifemax_v	650	650	-1	-1	0	0	armordefense_v	160	160	-1	-1	0	0	staminamax_v	160	160	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +4] Tuyết Địa Sa Mạc  	Bôn Tiêu	1	1	12	20057	10	\image\item\equip\horse\baiyangtuoxiao.spr	\image\item\equip\horse\baiyangtuoda.spr	32	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	400000000			3		horse	35	35	damage_all_resist	100	100												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	20	20																																								5																																																												fastwalkrun_p	90	90	-1	-1	0	0	lifemax_v	700	700	-1	-1	0	0	armordefense_v	180	180	-1	-1	0	0	staminamax_v	180	180	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +5] Hỏa Vũ Thiên Hương  	Bôn Tiêu	1	1	12	20070	10	\image\item\equip\horse\viphuli01_s1.spr	\image\item\equip\horse\viphuli01_1.spr	32	<color=yellow>Hồ ly thần, mang theo luồng khí tức bí ẩn.<color>		0	1	500000000			3		horse	48	48	damage_all_resist	125	125												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	25	25																																								5																																																												fastwalkrun_p	95	95	-1	-1	0	0	lifemax_v	750	750	-1	-1	0	0	armordefense_v	200	200	-1	-1	0	0	staminamax_v	200	200	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +6] Linh Dương Giáp  	Bôn Tiêu	1	1	12	20077	10	\image\item\equip\horse\Icon_LinhDuong.spr	\image\item\equip\horse\View_LinhDuong.spr	32	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	600000000			3		horse	46	46	damage_all_resist	150	150												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	30	30																																								5																																																												fastwalkrun_p	100	100	-1	-1	0	0	lifemax_v	800	800	-1	-1	0	0	armordefense_v	220	220	-1	-1	0	0	staminamax_v	220	220	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +7] Bạch Lộc  	Bạch Lộc Xanh Nhạt	1	1	12	20045	10	\image\item\equip\horse\Icon Bach Loc Xanh Nhat1.spr	\image\item\equip\horse\Icon Bach Loc Xanh Nhat.spr	38	<color=yellow>Thần Thú Phi Long Tại Thiên<color>		0	1	700000000			3		horse	42	42	damage_all_resist	175	175												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	35	35																																								5																																																												fastwalkrun_p	105	105	-1	-1	0	0	lifemax_v	850	850	-1	-1	0	0	armordefense_v	240	240	-1	-1	0	0	staminamax_v	240	240	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +8] Hồng Long Xích Diệm 	Hãn Huyết Thần Mã	1	1	12	20043	10	\image\item\equip\horse\horse017_s.spr	\image\item\equip\horse\horse017.spr	32	Trong phút chốc lửa trùm cả bầu trời.		0	1	800000000			3		horse	39	39	damage_all_resist	200	200												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	40	40																																								5																																																												fastwalkrun_p	110	110	-1	-1	0	0	lifemax_v	900	900	-1	-1	0	0	armordefense_v	260	260	-1	-1	0	0	staminamax_v	260	260	-1	-1	0	0	allskill_v	1	1			1417	1417				-1	-1	0	0	604800
[Thần Thú +9] Kim Tượng Thái Đạt	Thú cưỡi VIP3	1	1	12	20082	10	\image\item\equip\horse\daxiang_s.spr	\image\item\equip\horse\daxiang.spr	32	<color=gold>Muốn biết trọng lượng của ta thì cần phải có một con thuyền chắc chắn.<color><enter>Nhận <color=yellow>Di Hình Hoán Ảnh<color>, giúp Vô Hạn Truyền Tống Phù đến nhiều nơi hơn. Thú cưỡi dành cho Cửu Ngũ Chí Tôn VIP		0	1	900000000			3		horse	50	50	damage_all_resist	225	225												allskill_v	1	1	4	4										deadlystrikedamageenhance_p	45	45																																								5																																																												fastwalkrun_p	115	115	-1	-1	0	0	lifemax_v	950	950	-1	-1	0	0	armordefense_v	280	280	-1	-1	0	0	staminamax_v	280	280	-1	-1	0	0	allskill_v	1	1			1417	1417								604800
