Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Phù  Pet		1	5	23	1	10	\image\item\partnerequip\amulet\partner_lv1_3_s.spr	\image\item\partnerequip\amulet\partner_lv1_3.spr	9			0	0	1000000			3	1	equip	0	0	defence_level	1	1					lifereplenish_v	50	50					manareplenish_v	50	50					staminareplenish_v	50	50					damage_all_resist	20	20																																								5											
Phù  Pet +1		1	5	23	2	10	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	9			0	0	50000000			3	1	equip	0	0	defence_level	2	2					lifereplenish_v	60	60					manareplenish_v	60	60					staminareplenish_v	60	60					damage_all_resist	40	40																																								5											
Phù  Pet +2		1	5	23	3	10	\image\item\partnerequip\amulet\partner_lv3_3_s.spr	\image\item\partnerequip\amulet\partner_lv3_3.spr	9			0	0	100000000			3	1	equip	0	0	defence_level	3	3					lifereplenish_v	70	70					manareplenish_v	70	70					staminareplenish_v	70	70					damage_all_resist	60	60																																								5											
Phù  Pet +3		1	5	23	4	10	\image\item\partnerequip\dopet\phupet4.spr	\image\item\partnerequip\dopet\phupet4_v.spr	9			0	0	150000000			3	1	equip	0	0	defence_level	4	4					lifereplenish_v	80	80					manareplenish_v	80	80					staminareplenish_v	80	80					damage_all_resist	80	80																																								5											
Phù  Pet +4		1	5	23	5	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	200000000			3	1	equip	0	0	defence_level	5	5					lifereplenish_v	90	90					manareplenish_v	90	90					staminareplenish_v	90	90					damage_all_resist	100	100																																								5											
Phù  Pet +5		1	5	23	6	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	250000000			3	1	equip	0	0	defence_level	6	6					lifereplenish_v	100	100					manareplenish_v	100	100					staminareplenish_v	100	100					damage_all_resist	120	120																																								5											
Phù  Pet +6		1	5	23	7	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	300000000			3	1	equip	0	0	defence_level	7	7					lifereplenish_v	110	110					manareplenish_v	110	110					staminareplenish_v	110	110					damage_all_resist	140	140																																								5											
Phù  Pet +7		1	5	23	8	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	350000000			3	1	equip	0	0	defence_level	8	8					lifereplenish_v	120	120					manareplenish_v	120	120					staminareplenish_v	120	120					damage_all_resist	160	160																																								5											
Phù  Pet +8		1	5	23	9	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	400000000			3	1	equip	0	0	defence_level	9	9					lifereplenish_v	130	130					manareplenish_v	130	130					staminareplenish_v	130	130					damage_all_resist	180	180																																								5											
Phù  Pet +9		1	5	23	10	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	450000000			3	1	equip	0	0	defence_level	10	10					lifereplenish_v	140	140					manareplenish_v	140	140					staminareplenish_v	140	140					damage_all_resist	200	200																																								5											
Phù  Pet +10		1	5	23	11	10	\image\item\partnerequip\dopet\phupet5.spr	\image\item\partnerequip\dopet\phupet5_v.spr	9			0	0	500000000			3	1	equip	0	0	defence_level	11	11					lifereplenish_v	150	150					manareplenish_v	150	150					staminareplenish_v	150	150					damage_all_resist	220	220																																								5											
