Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Tay Pet		1	5	22	1	10	\image\item\partnerequip\cuff\partner_cuff_01_s.spr	\image\item\partnerequip\cuff\partner_cuff_01.spr	9			0	0	1000000			3	1	equip	0	0	damage_all_resist	25	25					lifereplenish_p	2	2					seriesstate_time_added	10	10																																																						5											
Tay Pet +1		1	5	22	2	10	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9			0	0	50000000			3	1	equip	0	0	damage_all_resist	50	50					lifereplenish_p	4	4					seriesstate_time_added	15	15																																																						5											
Tay Pet +2		1	5	22	3	10	\image\item\partnerequip\cuff\partner_cuff_03_s.spr	\image\item\partnerequip\cuff\partner_cuff_03.spr	9			0	0	100000000			3	1	equip	0	0	damage_all_resist	75	75					lifereplenish_p	6	6					seriesstate_time_added	20	20																																																						5											
Tay Pet +3		1	5	22	4	10	\image\item\partnerequip\dopet\taypet4.spr	\image\item\partnerequip\dopet\taypet4_v.spr	9			0	0	150000000			3	1	equip	0	0	damage_all_resist	100	100					lifereplenish_p	8	8					seriesstate_time_added	25	25																																																						5											
Tay Pet +4		1	5	22	5	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	200000000			3	1	equip	0	0	damage_all_resist	125	125					lifereplenish_p	10	10					seriesstate_time_added	30	30																																																						5											
Tay Pet +5		1	5	22	6	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	250000000			3	1	equip	0	0	damage_all_resist	150	150					lifereplenish_p	12	12					seriesstate_time_added	35	35																																																						5											
Tay Pet +6		1	5	22	7	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	300000000			3	1	equip	0	0	damage_all_resist	175	175					lifereplenish_p	14	14					seriesstate_time_added	40	40																																																						5											
Tay Pet +7		1	5	22	8	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	350000000			3	1	equip	0	0	damage_all_resist	200	200					lifereplenish_p	16	16					seriesstate_time_added	45	45																																																						5											
Tay Pet +8		1	5	22	9	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	400000000			3	1	equip	0	0	damage_all_resist	225	225					lifereplenish_p	18	18					seriesstate_time_added	50	50																																																						5											
Tay Pet +9		1	5	22	10	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	450000000			3	1	equip	0	0	damage_all_resist	250	250					lifereplenish_p	20	20					seriesstate_time_added	55	55																																																						5											
Tay Pet +10		1	5	22	11	10	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9			0	0	500000000			3	1	equip	0	0	damage_all_resist	275	275					lifereplenish_p	22	22					seriesstate_time_added	60	60																																																						5											
