Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Nhẫn Pet		1	5	21	1	10	\image\item\partnerequip\ring\partner_ring_01_s.spr	\image\item\partnerequip\ring\partner_ring_01.spr	9			0	0	1000000			3	1	equip	0	0	addphysicsdamage_p	30	30					addphysicsmagic_p	30	30					manareplenish_p	2	2					allseriesstateresisttime	10	10																																															5											
Nhẫn Pet +1		1	5	21	2	10	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9			0	0	50000000			3	1	equip	0	0	addphysicsdamage_p	60	60					addphysicsmagic_p	60	60					manareplenish_p	4	4					allseriesstateresisttime	20	20																																															5											
Nhẫn Pet +2		1	5	21	3	10	\image\item\partnerequip\ring\partner_ring_03_s.spr	\image\item\partnerequip\ring\partner_ring_03.spr	9			0	0	100000000			3	1	equip	0	0	addphysicsdamage_p	90	90					addphysicsmagic_p	90	90					manareplenish_p	6	6					allseriesstateresisttime	30	30																																															5											
Nhẫn Pet +3		1	5	21	4	10	\image\item\partnerequip\dopet\nhanpet4.spr	\image\item\partnerequip\dopet\nhanpet4_v.spr	9			0	0	150000000			3	1	equip	0	0	addphysicsdamage_p	120	120					addphysicsmagic_p	120	120					manareplenish_p	8	8					allseriesstateresisttime	40	40																																															5											
Nhẫn Pet +4		1	5	21	5	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	200000000			3	1	equip	0	0	addphysicsdamage_p	150	150					addphysicsmagic_p	150	150					manareplenish_p	10	10					allseriesstateresisttime	50	50																																															5											
Nhẫn Pet +5		1	5	21	6	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	250000000			3	1	equip	0	0	addphysicsdamage_p	180	180					addphysicsmagic_p	180	180					manareplenish_p	12	12					allseriesstateresisttime	60	60																																															5											
Nhẫn Pet +6		1	5	21	7	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	300000000			3	1	equip	0	0	addphysicsdamage_p	210	210					addphysicsmagic_p	210	210					manareplenish_p	14	14					allseriesstateresisttime	70	70																																															5											
Nhẫn Pet +7		1	5	21	8	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	350000000			3	1	equip	0	0	addphysicsdamage_p	240	240					addphysicsmagic_p	240	240					manareplenish_p	16	16					allseriesstateresisttime	80	80																																															5											
Nhẫn Pet +8		1	5	21	9	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	400000000			3	1	equip	0	0	addphysicsdamage_p	270	270					addphysicsmagic_p	270	270					manareplenish_p	18	18					allseriesstateresisttime	90	90																																															5											
Nhẫn Pet +9		1	5	21	10	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	450000000			3	1	equip	0	0	addphysicsdamage_p	300	300					addphysicsmagic_p	300	300					manareplenish_p	20	20					allseriesstateresisttime	100	100																																															5											
Nhẫn Pet +10		1	5	21	11	10	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9			0	0	500000000			3	1	equip	0	0	addphysicsdamage_p	330	330					addphysicsmagic_p	330	330					manareplenish_p	22	22					allseriesstateresisttime	120	120																																															5											
