TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	ActionKind	RandCallBoss	BossId
Số nhiệm vụ	Tên nhân vật	Loại nhiệm vụ	Số hiệu Id bản đồ	Tọa độ X bản đồ	Tọa độ Y bản đồ	Tên bản đồ	NpcId	Số lượng	Cấp đoạn	Loại hành vi boss	Xác suất tử vong triệu boss (Tổng xác suất 100 vạn)	Id của boss
50001	Húc Nhật Can	KillNpc	114	1617	3744	Sắc Lặc Xuyên	3107	1	1	1		
50002	Tra Can Ba Lạp	KillNpc	114	1736	3228	Sắc Lặc Xuyên	3108	1	1	0		
50003	Cáp Nhĩ Ba Lạp	KillNpc	114	1838	3766	Sắc Lặc Xuyên	3109	1	1	0		
50004	Tô Hách Ba Lỗ	KillNpc	114	1926	3232	Sắc Lặc Xuyên	3110	1	1	0		
50005	Cuồng Phong Sa	KillNpc	115	1489	2902	Gia Dụ Quan	3111	1	1	1		
50006	Mã Vạn Cù	KillNpc	115	1512	3177	Gia Dụ Quan	3112	1	1	0		
50007	Ca Thư Mạc	KillNpc	115	1642	3267	Gia Dụ Quan	3113	1	1	0		
50008	Sở Phi Ưng	KillNpc	115	1779	2921	Gia Dụ Quan	3114	1	1	0		
50009	Lệnh Hồ Chiêm	KillNpc	116	1599	3670	Hoa Sơn	3115	1	1	1		
50010	Nhạc Lãnh Thiền	KillNpc	116	1700	3490	Hoa Sơn	3116	1	1	0		
50011	Phong Cốc	KillNpc	116	1821	3234	Hoa Sơn	3117	1	1	0		
50012	Ninh Cán Cán	KillNpc	116	1856	3589	Hoa Sơn	3118	1	1	0		
50013	Ngưu Chấn Sơn	KillNpc	117	1622	2919	Thục Cương Bí Cảnh	3119	1	1	1		
50014	Nguyên Thập Nhị	KillNpc	117	1672	3358	Thục Cương Bí Cảnh	3120	1	1	0		
50015	Diêu Thanh Bình	KillNpc	117	1438	3402	Thục Cương Bí Cảnh	3121	1	1	0		
50016	Tôn Nguyệt Lâu	KillNpc	117	1536	2937	Thục Cương Bí Cảnh	3122	1	1	0		
50017	Hắc Vô Thường	KillNpc	118	1457	3597	Phong Đô Quỷ Thành	3123	1	1	1		
50018	Bạch Vô Thường	KillNpc	118	1617	3849	Phong Đô Quỷ Thành	3124	1	1	0		
50019	Diêm Thập Điện	KillNpc	118	1860	3784	Phong Đô Quỷ Thành	3125	1	1	0		
50020	Chung Thần Phán	KillNpc	118	1874	3406	Phong Đô Quỷ Thành	3126	1	1	0		
50021	Ba Đại Nhi	KillNpc	119	1580	3193	Miêu Lĩnh	3127	1	1	1		
50022	Kỷ Thiên Thành	KillNpc	119	1606	3653	Miêu Lĩnh	3128	1	1	0		
50023	Lâu Thiên Thiên	KillNpc	119	1718	3275	Miêu Lĩnh	3129	1	1	0		
50024	Bạch Viễn Hải	KillNpc	119	1838	3666	Miêu Lĩnh	3130	1	1	0		
50025	Điền Bất Nhị	KillNpc	120	1843	3469	Vũ Di Sơn	3131	1	1	1		
50026	Thẩm Ngũ Lang	KillNpc	120	1932	3867	Vũ Di Sơn	3132	1	1	0		
50027	Sử Thiết Chưởng	KillNpc	120	1690	3802	Vũ Di Sơn	3133	1	1	0		
50028	Dư Chính Hải	KillNpc	120	1619	3571	Vũ Di Sơn	3134	1	1	0		
50029	Bùi Thời Uyên	KillNpc	121	1817	3266	Vũ Lăng Sơn	3135	1	2	1		
50030	Ngô Thái Huyền	KillNpc	121	1682	3456	Vũ Lăng Sơn	3136	1	2	0		
50031	Hoàng Phủ Kiến	KillNpc	121	1567	3310	Vũ Lăng Sơn	3137	1	2	0		
50032	Thân Đồ Chân	KillNpc	121	1482	3158	Vũ Lăng Sơn	3138	1	2	0		
50033	Húc Nhật Can	KillNpc	114	1617	3744	Sắc Lặc Xuyên	3107	1	2	1		
50034	Tra Can Ba Lạp	KillNpc	114	1736	3228	Sắc Lặc Xuyên	3108	1	2	0		
50035	Cáp Nhĩ Ba Lạp	KillNpc	114	1838	3766	Sắc Lặc Xuyên	3109	1	2	0		
50036	Tô Hách Ba Lỗ	KillNpc	114	1926	3232	Sắc Lặc Xuyên	3110	1	2	0		
50037	Cuồng Phong Sa	KillNpc	115	1489	2902	Gia Dụ Quan	3111	1	2	1		
