MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_11	GAMESVR_SET_12	Ghi chú
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Tr?n
2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Tr?n
3	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Vinh L?c Tr?n
4	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ð?o Huong Thôn
5	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Giang Tân Thôn
6	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Th?ch C? Tr?n
7	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuy?n Thôn
8	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ba Lang Huy?n
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thi?u Lâm Phái
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Nh?n Giáo
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tát Mãn Giáo
12	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Côn Lôn Phái
13	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tây H? Nh?t Ph?m Ðu?ng
14	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Võ Ðang Phái
15	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cái Bang
16	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Nga My Phái
17	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Thúy Yên Môn
18	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ðu?ng Môn
19	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?i Lý Ðoàn Th?
20	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ngu Ð?c Giáo
21	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Tru?ng Ca Môn
22	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Thiên Vuong Bang
23	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Bi?n Kinh Ph?
24	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Phu?ng Tu?ng Ph?
25	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Tuong Duong Ph?
26	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Duong Châu Ph?
27	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Thành Ðô Ph?
28	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Ð?i Lý Ph?
29	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Lâm An Ph?
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chi?n Tru?ng C?
31	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Quán Tr? Long Môn
32	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Quân Mã Tru?ng
33	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Mai Hoa Linh
34	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Tru?ng Giang Hà C?c
