
{
  ["GameOption"]	= 
  {
    ["nAudioVolume"]	= 0,
    ["nShowName"]	= 1,
    ["nMusicVolume"]	= 0,
    ["nTransferMsg"]	= 1,
    ["nTeamPopMsg"]	= 0,
    ["nControlModel"]	= 1,
    ["nShowLife"]	= 1,
  },
  ["AutoFight_FACTION_7"]	= {},
  ["GameOptimize"]	= 
  {
    ["nBackupAlphaLevel"]	= 256,
    ["tbParam"]	= 
    {
      [6]	= 0,
      [2]	= 0,
      [8]	= 0,
      [3]	= 0,
      [1]	= 0,
      [4]	= 1,
      [5]	= 0,
      [7]	= 0,
    },
    ["nAutoDisp"]	= 0,
    ["tbNpcParam"]	= 
    {
      [1]	= 0,
      [2]	= 0,
      [3]	= 0,
    },
    ["nDisplayAlphaLevel"]	= 256,
  },
  ["AutoFight"]	= {},
  ["TradeHistory"]	= 
  {
    [1]	= 
    {
      ["szName"]	= "Administrator",
      ["szCode"]	= "TORE181",
    },
  },
  ["Calendar"]	= 
  {
    [6]	= 1,
    [2]	= 1,
    [3]	= 1,
    [1]	= 1,
    [4]	= 1,
    [5]	= 1,
  },
  ["CalendarReMindAll"]	= {},
}
