MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Vân Trung Trấn
2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Long Môn Trấn
3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Vĩnh Lạc Trấn
4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Đạo Hương Thôn
5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Giang Tân Thôn
6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Thạch Cổ Trấn
7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Long Tuyền Thôn
8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Ba Lăng Huyện
9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Thiếu Lâm Phái
10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Thiên Nhẫn Giáo
11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Tát Mãn Giáo
12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Côn Lôn Phái
13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Tây Hạ Nhất Phẩm Đường
14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Võ Đang Phái
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Cái Bang
16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Nga My Phái
17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Thúy Yên Môn
18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Đường Môn
19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Đại Lý Đoàn Thị
20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Ngũ Độc Giáo
