MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	云中镇
2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	龙门镇
3	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	永乐镇
4	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	稻香村
5	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	江津村
6	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	石鼓镇
7	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	龙泉村
8	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	巴陵县
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	少林派
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	萨满教
12	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	昆仑派
13	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	西夏一品堂
14	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	武当派
15	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	丐帮
16	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	峨嵋派
17	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	翠烟门
18	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	唐门
19	1	2	3	3	3	6	2	6	6	6	6	6	6	6	6	6	大理段氏
20	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	五毒教
21	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	长歌门
22	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	天王帮
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	汴京府
24	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	凤翔府
25	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	襄阳府
26	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	扬州府
27	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	成都府
28	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	大理府
29	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	临安府
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	古战场
31	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	龙门客栈
32	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	军马场
33	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	梅花岭
34	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	长江河谷
35	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	白族市集
36	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	雁荡龙湫
37	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	洞庭湖畔
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	镇东墓园
39	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	祁连山
40	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	潼关
41	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	淮水沙洲
42	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	蜀南竹海
43	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	茶马古道
44	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	铸剑坊
45	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	岳阳楼
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	后山禁地
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教禁地
48	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	见性峰
49	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	天柱峰
50	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	姑苏水榭
51	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九老峰
52	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	百花谷
53	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	翡翠湖
54	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	南夷部落
55	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	青螺岛
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	塔林东部
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金国皇陵一层
58	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	冰穴迷宫一层
59	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	龙虎幻境东部
60	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	燕子坞外围
61	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九老洞一层
62	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	百花阵外阵
63	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	湖畔竹林东部
64	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	原始森林东部
65	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	芦苇荡东南部
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	塔林西部
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金国皇陵二层
68	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	冰穴迷宫二层
69	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	龙虎幻境西部
70	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	燕子坞中段
71	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九老洞二层
72	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	百花阵内阵
73	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	湖畔竹林西部
74	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	原始森林西部
75	1	2	2	4	5	5	5	8	8	8	8	8	8	8	8	8	芦苇荡西北部
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	塔林中部
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金国皇陵三层
78	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	冰穴迷宫三层
79	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	龙虎幻境中部
80	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	燕子坞内部
81	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九老洞三层
82	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	百花阵阵眼
83	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	湖畔竹林中部
84	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	原始森林中部
85	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	芦苇荡中部
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	太行古径
87	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	大散关
88	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	汉水古渡
89	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	寒山古刹
90	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	浣花溪
91	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	洱海摩岩
92	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	采石矶
