Size(Byte)	Count	Max	Min	Id	Name
1	1	1	1	67	s2c_syncplayerend
50	1	50	50	68	s2c_synccurplayer
102080	9280	11	11	70	s2c_synccurplayernormal
442	13	34	34	73	s2c_syncworld
43	1	43	43	74	s2c_syncplayer
22267	3181	7	7	75	s2c_syncplayermin
8723	793	11	11	76	s2c_syncplayermin2
20614	210	141	56	78	s2c_syncnpc
1654593	97329	17	17	79	s2c_syncnpcmin
66800	2672	25	25	80	s2c_syncnpcmin2
35766	3974	9	9	81	s2c_syncnpcminplayer
75	15	5	5	82	s2c_npcremove
4389	209	21	21	83	s2c_npcwalk
4537	349	13	13	84	s2c_npcrun
5412	246	22	22	86	s2c_npcspecialstate
260	52	5	5	88	s2c_lockcode
60	12	5	5	90	s2c_npcdeath
7463	439	17	17	93	s2c_skillcast
170	10	17	17	95	s2c_playerexp
218056	2248	97	97	98	s2c_syncitem
4760	952	5	5	99	s2c_removeitem
288	32	9	9	100	s2c_syncmoney
60	12	5	5	101	s2c_syncjbcoin
284791	622	955	13	103	s2c_playeruiscript
59075	3475	17	17	123	s2c_syncnpcstate
3	1	3	3	124	s2c_playerfactiondata
14	7	2	2	125	s2c_itemride
56	7	8	8	126	s2c_switchitem
2	1	2	2	129	s2c_playerseries
190	38	5	5	130	s2c_ping
208	16	13	13	131	s2c_npcsit
234	18	13	13	132	s2c_opensalebox
1377	81	17	17	133	s2c_castskilldirectly
2531	151	21	13	134	s2c_msgshow
129875	2225	84	19	135	s2c_syncstateeffect
2	2	1	1	136	s2c_openrepository
12	2	6	6	137	s2c_playerrevive
32466	5411	6	6	140	s2c_useitem_result
5	5	1	1	141	s2c_switchitem_end
5	1	5	5	146	s2c_pksyncpkvalue
190	38	5	5	151	s2c_replyclientping
846	94	9	9	153	s2c_itemdurabilitychange
30	5	6	6	157	s2c_updatebook
42660	4266	10	10	158	s2c_npc_flychar
111	37	3	3	159	s2c_enhance_result
10	2	5	5	161	s2c_syncplayerdisabledflag
34668	3852	9	9	163	s2c_syncplayertaskvalue
5460	780	7	7	164	s2c_itemcountsync
1	1	1	1	165	s2c_playerloginend
1	1	1	1	166	s2c_playerlogindelayend
2200	110	20	20	170	s2c_playerfeaturesync
641	1	641	641	178	s2c_syncplayeralltaskvalue
8	1	8	8	186	s2c_tiredwarning_time
51	3	17	17	193	s2c_npcpos
27700	49	676	9	195	s2c_taskextend
109	7	19	15	200	s2c_playertitle_extend
10144	634	16	16	201	s2c_playerrepute_extend
20	4	5	5	202	s2c_playerpk_extend
7	1	7	7	203	s2c_playerrelation
19363	80	1370	21	204	s2c_scriptcall
1	1	1	1	205	s2c_gamecenter_loginok
137	2	132	5	206	s2c_mail
7765	27	1477	4	211	s2c_ibshop
14938	1650	17	9	213	s2c_lifeskill_extend
3942	234	21	9	217	s2c_fightskill_extend
4	2	2	2	218	UNKNOWN
396	1	396	396	219	s2c_askgamecode
12	1	12	12	220	UNKNOWN
270	18	15	15	221	s2c_replyreuniondata
84	14	6	6	222	s2c_protectedstate
941	31	121	9	223	s2c_synplayer_extend
1362	227	6	6	231	UNKNOWN
54742	355	367	104	233	UNKNOWN
