QID	Use	Kind	Question	Answer	Select1	Setect2
1	0	Kỹ năng chiên đấu	Tác dụng của rượu là gì ?	Tăng kinh nghiệm lửa trại	Tăng kinh nghiệm giết quái	Tăng độ thân mật hảo hữu
2	0	Kỹ năng chiên đấu	Tác dụng của rượu có thể kéo dài bao lâu?	3 phút	1 phút	5 phút
3	0	Kỹ năng chiên đấu	Tổ hợp phím để mở tự động đánh?	Ctrl+F	Ctrl+C	Ctrl+A
4	0	Kỹ năng chiên đấu	Kỹ năng nộ khí dùng khi nào? 	Khi đánh quoái	Dùng khi PK	Lúc nào cũng sử dụng được
5	0	Chữa thương	Mua Cửu chuyển tục mệnh hoàn ở đâu?	Kỳ trân các	Dược điếm	Tạp hóa
6	0	Chữa thương	Có thể dùng Cửu chuyển tục mệnh hoàn ở đâu?	Map luyện công	Tống Kim	Thi đấu loạn phái
7	0	Chữa thương	Giá bán của  Cửu chuyển tục mệnh hoàn là bao nhiêu? 	100 Đồng Khóa	40 Đồng Khóa	50 Đồng Khóa
8	0	Chữa thương	 Cửu chuyển tục mệnh hoàn có sử dụng được trong trạng thái Tranh Đoạt Lãnh Thổ không ?	Không	Có	Không biết
9	0	Hình thức chiến đấu	Có thể sử dụng quan hệ tỷ thí ở đâu?	Map luyện công	Thi đấu loạn phái	Tân Thủ Thôn
10	0	Hình thức chiến đấu	Trạng thái PK nào khi giết người chơi khác có thể tăng trị số PK ?	Đồ sát	Bang hội	Luyện Công
11	0	Hình thức chiến đấu	Trạng thái PK trong Tống Kim của người chơi là gì ?	Phe	Luyện Công	Bang Hội
12	0	Tai tiếng của nhà thanh	Tên NPC để Tụng Từ Bi Tâm Kinh là gì ?	Vân Du Tăng Nhân	Bổ Đầu Hình Bộ	Nha Dịch
13	0	Tai tiếng của nhà thanh	NPC để Tụng Từ Bi Tâm Kinh ở đâu ?	Thành Biện Kinh	Thành Lâm An	Thành Đại Lý
14	0	Tai tiếng của nhà thanh	Có thể mua Từ Bi Tâm Kinh ở đâu ?	Kỳ trân các	Dược điếm	Tạp hóa
15	0	Tai tiếng của nhà thanh	Tác dụng của Từ Bi Tâm Kinh là gì ?	Giảm trừ PK	Gia tù	Tăng kinh nghiệm
16	0	Lôi đài	Tên NPC ghi danh lôi đài là gì ?	Công Bình Tử	Lễ Quan	Bạch Thu Lâm
17	0	Lôi đài	Hình thức chiến đấu có thể tham gia trong lôi đài là？	1 vs 1	8vs8	10vs10
18	0	Tống kim	1 ngày có bao nhiêu trận Tống Kim ?	7 Trận	9 Trận 	10 Trận
19	0	Tống kim	Map Tống Kim sử dụng là ?	Gia Dụ Quan - Phượng Tường	Gia Du Quan - Tương Dương	Gia Du Quan - Dương Châu
20	0	Tống kim	Hình thức trân chiến Tống Kim là gì?	Bảo vệ Long Trụ	Hộ Cờ	Bảo vệ Soái
21	0	Tống kim	Trận Tống Kim đầu tiên trong ngày báo danh lúc mấy giờ?	10h50	11h	10h55
22	0	Tống kim	Trận Tống Kim cuối cùng trong ngày báo danh lúc mấy giờ?	22h50	22h55	23h
23	0	Tống kim	Trong Tống Kim có thể tổ đội với người khác không?	Có	Không	Không biết
24	0	Tống kim	Trong Tống Kim người giết Đại Tướng được bao nhiêu điểm tích lũy?	500 Điểm	1000 Điểm	200 Điểm 
25	0	Tống kim	Trong Tống Kim người giết Nguyên Soái được bao nhiêu điểm tích lũy?	1500 Điểm	1000 Điểm	2000 Điểm
26	0	Tống kim	Trong Tống Kim có thế đồ sát người khác không ?	Không	Có	Không biết
27	0	Tống kim	Trong Tống Kim có thể đổi phái không?	Không	Có	Không biết
28	0	Tống kim	Trong Tống Kim có thể mở hộp thư không?	Không	Không biết	Có
29	0	Tống kim	Trong Tống Kim có thể giao dịch không?	Không	Có	Không biết
30	0	Tống kim	Trong Tống Kim thưởng liên trảm giết địch là bao nhiêu?	150 Điểm	200 Điểm	300 Điểm
31	0	Tống kim	NPC để báo danh Tống Kim là ai ?	Hiệu Úy Mộ Binh	Quan Quân Nhu	Nha Dịch
32	0	Tống kim	Có thể sử dụng vật phẩm nào để đến khu báo danh Tống Kim?	Vô Hạn Truyền Tống Phù	Càn Khôn Phù	Lệnh Bài Hình Bộ
33	0	Tống kim	Thời gian của 1 trận Tống Kim là bao nhiêu?	30 Phút	55 Phút	60 Phút
34	0	Tống kim	Thời gian bắt đàu báo danh đến khi bắt đầu cuôc chiến Tống Kim là bao nhiêu?	5 Phút	10 Phút	15 Phút
35	0	Tống kim	Bạn thấy phần  thưởng Tống Kim có hợp lý không?	Có	Không	Không biết
36	0	Tống kim	Bạn có thích hoạt động Tống Kim không?	Có	Không	Không biết
37	0	Kỹ năng sống	Nguyên liệu chế đồ có thể mua ở đâu?	Tạp hóa	Tửu Lầu	Tiệm Thuốc
38	0	Kỹ năng sống	Thứ cần thiết để dùng trong Chế tạo đồ là gì?	Tinh Hoạt Lực	Bạc	Đồng
39	0	Kỹ năng sống	Cấp cao nhất của Kỹ Năng Sống là bao nhiêu?	120	100	150
