Index	Name	Id	BindType	Timeout	Rate	Weight	Level	TaskCountNoUse	TaskCountUse	ServerCountUse	ChangeCoin	SystemMsg	TongMsg	FriendMsg
1	Du long danh vọng lệnh [Phù]	18,1,529,1	1		3	5	5	1000	0	100000	1000	1	1	1
2	Du long danh vọng lệnh [Nón]	18,1,529,2	1		3	5	5	1000	0	100000	1000	1	1	1
3	Du long danh vọng lệnh [Áo]	18,1,529,3	1		3	5	5	1000	0	100000	1000	1	1	1
4	Du long danh vọng lệnh [Yêu đái]	18,1,529,4	1		3	5	5	1000	0	100000	1000	1	1	1
5	Du long danh vọng lệnh [Giày]	18,1,529,5	1		3	5	5	1000	0	100000	1000	1	1	1
6	Du long danh vọng lệnh [Hạng Liên]	18,1,529,6	1		3	5	5	1000	0	100000	1000	1	1	1
7	Du long danh vọng lệnh [Tay]	18,1,529,7	1		3	5	5	1000	0	100000	1000	1	1	1
8	Du long danh vọng lệnh [Bội]	18,1,529,8	1		3	5	5	1000	0	100000	1000	1	1	1
9	Du long danh vọng lệnh [Nhẫn]	18,1,529,9	1		3	5	5	1000	0	100000	1000	1	1	1
10	Đồng hành năm mới	18,1,547,2			5	5	5	0	0	0	200	1	1	1
11	Đồng hành 5Skill	18,1,666,2			20	8	4	0	0	0	100	1	1	1
12	Đồng hành 4Skill	18,1,666,1			50	8	4	0	0	0	50	1	1	1
13	Kim Nguyên Bảo (Đại)	18,1,1194,3			10	5	5	0	0	0	200	1	1	1
14	Tinh Thạch Thánh Hỏa	18,1,1331,4	1		5	5	5	0	0	0	300	1	1	1
15	Tần Lăng - Hòa Thị Bích	18,1,377,1	1		50	5	5	0	0	0	50	1	1	1
16	Tinh Thạch Đoạn Hải	18,1,1331,3	1		30	8	4	0	0	0	30	1	1	1
17	Kim Nguyên Bảo (Trung)	18,1,1194,2			30	8	4	0	0	0	50	1	1	1
18	Rương mảnh Ghép	18,1,3046,1	1		1000	24	3	0	0	0	2			
19	Rương Vật Phẩm	18,1,3019,1	1		2000	24	3	0	0	0	2			
20	Kim Nguyên Bảo (Tiểu)	18,1,1194,1			1000	24	3	0	0	0	10			
21	Thiệp bạc (khóa)	18,1,541,2	1		2000	20	2	0	0	0	2			
22	Tinh Thạch Ảnh Nguyệt	18,1,1331,2	1		1500	20	2	0	0	0	7			
23	Sách kinh nghiệm đồng hành	18,1,543,1			2000	30	1	0	0	0	1			
24	Chân Nguyên Tu Luyện Đơn	18,1,1333,10	1		3000	40	1	0	0	0	1			
25	Thánh Linh Bảo Hạp Hồn	18,1,1334,10	1		6000	40	1	0	0	0	1			
26	Tinh Thạch Phượng Hoàng	18,1,1331,1	1		2000	15	1	0	0	0	1			
27	Bản đồ bí cảnh	18,1,251,1			800	15	1	0	0	0	3			
28	Tiền Đồng Thường	18,1,1194,4	1		6000	40	1	0	0	0	1			
29	Tiền Đồng Khóa	18,1,1194,5	1		6000	40	1	0	0	0	1			
