Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
Mặt Nạ Cửu Thiên		1	1	13	156	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	1000000			3	1	mask	0	0		-1	-1					damage_all_resist	25	25												defencedeadlystrikedamagetrim	5	5												deadlystrikedamageenhance_p	5	5																			fastmanareplenish_v	25	25	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +1		1	1	13	157	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	100000000			3	1	mask	0	0		-1	-1					damage_all_resist	50	50												defencedeadlystrikedamagetrim	10	10												deadlystrikedamageenhance_p	10	10																			fastmanareplenish_v	30	30	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +2		1	1	13	158	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	200000000			3	1	mask	0	0		-1	-1					damage_all_resist	75	75												defencedeadlystrikedamagetrim	15	15												deadlystrikedamageenhance_p	15	15																			fastmanareplenish_v	35	35	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +3		1	1	13	159	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	300000000			3	1	mask	0	0		-1	-1					damage_all_resist	100	100												defencedeadlystrikedamagetrim	20	20												deadlystrikedamageenhance_p	20	20																			fastmanareplenish_v	40	40	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +4		1	1	13	160	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	400000000			3	1	mask	0	0		-1	-1					damage_all_resist	125	125												defencedeadlystrikedamagetrim	25	25												deadlystrikedamageenhance_p	25	25																			fastmanareplenish_v	45	45	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +5		1	1	13	161	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	500000000			3	1	mask	0	0		-1	-1					damage_all_resist	150	150												defencedeadlystrikedamagetrim	30	30												deadlystrikedamageenhance_p	30	30																			fastmanareplenish_v	50	50	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +6		1	1	13	162	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	600000000			3	1	mask	0	0		-1	-1					damage_all_resist	175	175												defencedeadlystrikedamagetrim	35	35												deadlystrikedamageenhance_p	35	35																			fastmanareplenish_v	55	55	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +7		1	1	13	163	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	700000000			3	1	mask	0	0		-1	-1					damage_all_resist	200	200												defencedeadlystrikedamagetrim	40	40												deadlystrikedamageenhance_p	40	40																			fastmanareplenish_v	60	60	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +8		1	1	13	164	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	800000000			3	1	mask	0	0		-1	-1					damage_all_resist	225	225												defencedeadlystrikedamagetrim	45	45												deadlystrikedamageenhance_p	45	45																			fastmanareplenish_v	65	65	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +9		1	1	13	165	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	900000000			3	1	mask	0	0		-1	-1					damage_all_resist	250	250												defencedeadlystrikedamagetrim	50	50												deadlystrikedamageenhance_p	50	50																			fastmanareplenish_v	70	70	-1	-1								1448	1448																																																						604800							
Mặt Nạ Cửu Thiên +10		1	1	13	166	10	\image\item\other\scriptitem\qinling_mask.spr	\image\item\other\scriptitem\qinling_mask_m.spr	35			0	0	1000000000			3	1	mask	0	0		-1	-1					damage_all_resist	275	275												defencedeadlystrikedamagetrim	55	55												deadlystrikedamageenhance_p	55	55																			fastmanareplenish_v	75	75	-1	-1								1448	1448																																																						604800							
