Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	ZhenId	UnLockInterval	FightPower
[Trận Pháp]Bát Quái Trận	Trận Pháp- tấn công	1	1	15	12	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		1000000			3	1	zhongjizhenfa																																																																											5																																																										7		2
[Trận Pháp]Bát Quái Trận +1	Trận Pháp- tấn công	1	1	15	13	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		100000000			3	1	zhongjizhenfa			allseriesstateresisttime	10	10					skilldamageptrim	2	2					deadlystrikeenhance_r	20	20					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +2	Trận Pháp- tấn công	1	1	15	14	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		200000000			3	1	zhongjizhenfa			allseriesstateresisttime	20	20					skilldamageptrim	4	4					deadlystrikeenhance_r	40	40					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +3	Trận Pháp- tấn công	1	1	15	15	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		300000000			3	1	zhongjizhenfa			allseriesstateresisttime	30	30					skilldamageptrim	6	6					deadlystrikeenhance_r	60	60					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +4	Trận Pháp- tấn công	1	1	15	16	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		400000000			3	1	zhongjizhenfa			allseriesstateresisttime	40	40					skilldamageptrim	8	8					deadlystrikeenhance_r	80	80					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +5	Trận Pháp- tấn công	1	1	15	17	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		500000000			3	1	zhongjizhenfa			allseriesstateresisttime	50	50					skilldamageptrim	10	10					deadlystrikeenhance_r	100	100					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +6	Trận Pháp- tấn công	1	1	15	18	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		600000000			3	1	zhongjizhenfa			allseriesstateresisttime	60	60					skilldamageptrim	12	12					deadlystrikeenhance_r	120	120					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +7	Trận Pháp- tấn công	1	1	15	19	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		700000000			3	1	zhongjizhenfa			allseriesstateresisttime	70	70					skilldamageptrim	14	14					deadlystrikeenhance_r	140	140					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +8	Trận Pháp- tấn công	1	1	15	20	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		800000000			3	1	zhongjizhenfa			allseriesstateresisttime	80	80					skilldamageptrim	16	16					deadlystrikeenhance_r	160	160					allskill_v	1	1	4	4																																															5																																																										7		2
[Trận Pháp]Bát Quái Trận +9	Trận Pháp- tấn công	1	1	15	21	10	\image\item\binhphap1.spr	\image\item\binhphap1.spr	32	Khi tạo nhóm, nhân vật trang bị trập pháp có thể nhận được thuộc tính trận pháp cao nhất; nhân vật không trang bị trận pháp sẽ căn cứ vào qui tắc kích hoạt nhận được hiệu quả trận pháp tương ứng do đội trưởng trang bị.<enter>Qui tắc kích hoạt: Trong nhóm mỗi lần tăng thêm 1 thành viên từ cấp 69 hoặc cấp 69 trở lên, sẽ tăng 1 cấp kích hoạt trận pháp.		0		900000000			3	1	zhongjizhenfa			allseriesstateresisttime	90	90					skilldamageptrim	18	18					deadlystrikeenhance_r	180	180					allskill_v	1	1	4	4																																															5																																																										7		2
