Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
1	100	50000	100	50000	100	50000	100	50000	100	50000
2	200	150000	200	150000	200	150000	200	150000	200	150000
3	300	300000	300	300000	300	300000	300	300000	300	300000
4	400	500000	400	500000	400	500000	400	500000	400	500000
5	500	750000	500	750000	500	750000	500	750000	500	750000
6	600	1050000	600	1050000	600	1050000	600	1050000	600	1050000
7	700	1400000	700	1400000	700	1400000	700	1400000	700	1400000
8	800	1800000	800	1800000	800	1800000	800	1800000	800	1800000
9	900	2250000	900	2250000	900	2250000	900	2250000	900	2250000
10	1000	2750000	1000	2750000	1000	2750000	1000	2750000	1000	2750000
11	1100	3300000	1100	3300000	1100	3300000	1100	3300000	1100	3300000
12	1200	3900000	1200	3900000	1200	3900000	1200	3900000	1200	3900000
13	1300	4550000	1300	4550000	1300	4550000	1300	4550000	1300	4550000
14	1400	5250000	1400	5250000	1400	5250000	1400	5250000	1400	5250000
15	1500	6000000	1500	6000000	1500	6000000	1500	6000000	1500	6000000
16	1600	6800000	1600	6800000	1600	6800000	1600	6800000	1600	6800000
17	1700	7650000	1700	7650000	1700	7650000	1700	7650000	1700	7650000
18	1800	8550000	1800	8550000	1800	8550000	1800	8550000	1800	8550000
19	1900	9500000	1900	9500000	1900	9500000	1900	9500000	1900	9500000
20	2000	10500000	2000	10500000	2000	10500000	2000	10500000	2000	10500000
21	2100	11550000	2100	11550000	2100	11550000	2100	11550000	2100	11550000
22	2200	12650000	2200	12650000	2200	12650000	2200	12650000	2200	12650000
23	2300	13800000	2300	13800000	2300	13800000	2300	13800000	2300	13800000
24	2400	15000000	2400	15000000	2400	15000000	2400	15000000	2400	15000000
25	2500	16250000	2500	16250000	2500	16250000	2500	16250000	2500	16250000
26	2600	17550000	2600	17550000	2600	17550000	2600	17550000	2600	17550000
27	2700	18900000	2700	18900000	2700	18900000	2700	18900000	2700	18900000
28	2800	20300000	2800	20300000	2800	20300000	2800	20300000	2800	20300000
29	2900	21750000	2900	21750000	2900	21750000	2900	21750000	2900	21750000
30	3000	23250000	3000	23250000	3000	23250000	3000	23250000	3000	23250000
31	3100	24800000	3100	24800000	3100	24800000	3100	24800000	3100	24800000
32	3200	26400000	3200	26400000	3200	26400000	3200	26400000	3200	26400000
33	3300	28050000	3300	28050000	3300	28050000	3300	28050000	3300	28050000
34	3400	29750000	3400	29750000	3400	29750000	3400	29750000	3400	29750000
35	3500	31500000	3500	31500000	3500	31500000	3500	31500000	3500	31500000
36	3600	33300000	3600	33300000	3600	33300000	3600	33300000	3600	33300000
37	3700	35150000	3700	35150000	3700	35150000	3700	35150000	3700	35150000
38	3800	37050000	3800	37050000	3800	37050000	3800	37050000	3800	37050000
39	3900	39000000	3900	39000000	3900	39000000	3900	39000000	3900	39000000
40	4000	41000000	4000	41000000	4000	41000000	4000	41000000	4000	41000000
