ClassParamID	Desc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
物品ExtParam1	随机宝箱	概率	开出东西	 bạc khóa	银两		大类	子类	详细类	等级	五行	强化	数量	kinh nghiệm	基准kinh nghiệm	精力	活力	khóa	有效期（格式同ItemTimeOut格式）	世界公告	好友公告
1	Bảo rương thi đấu môn phái	9000	Tiền đồng may mắn (trung)				18	1	1194	2	0	0									
1	Bảo rương thi đấu môn phái	1000	Tiền đồng may mắn (đại)				18	1	81	3	0	0									
1	Bảo rương thi đấu môn phái	2000	Tần Lăng-Hòa Thị Bích				18	1	377	1	0	0									
1	Bảo rương thi đấu môn phái	3000	Tinh Thạch Đoạn Hải				18	1	1331	3	0	0									
2	Bảo rương gia tộc	1000	Gia tộc lệnh bài ( sơ cấp )				18	1	110	1	0	0									
2	Bảo rương gia tộc	500	Gia tộc lệnh bài ( trung cấp )				18	1	110	2	0	0									
2	Bảo rương gia tộc	300	Gia tộc lệnh bài ( cao cấp )				18	1	110	3	0	0									
2	Bảo rương gia tộc	5000	Huyền tinh cấp 5				18	1	1	5	0	0						1			
2	Bảo rương gia tộc	3090	Huyền tinh cấp 6				18	1	1	6	0	0						1			
2	Bảo rương gia tộc	100	Huyền tinh cấp 7				18	1	1	7	0	0						1			
2	Bảo rương gia tộc	10	Huyền tinh cấp 8				18	1	1	8	0	0						1			
3	Bảo rương Hắc Thiết gia tộc	7000	Huyền tinh cấp 6				18	1	1	6	0	0									
3	Bảo rương Hắc Thiết gia tộc	2000	Bạc thường 100000		100000																
3	Bảo rương Hắc Thiết gia tộc	1000	Huyền tinh cấp 7				18	1	1	7	0	0									
4	Bảo rương Thanh Đồng gia tộc	8400	Huyền tinh cấp 7				18	1	1	7	0	0									
4	Bảo rương Thanh Đồng gia tộc	1500	Bạc thường 300000		300000																
4	Bảo rương Thanh Đồng gia tộc	100	Huyền tinh cấp 8				18	1	1	8	0	0									
5	Bảo rương Bạch Ngân gia tộc	7700	Huyền tinh cấp 7				18	1	1	7	0	0									
5	Bảo rương Bạch Ngân gia tộc	1500	Bạc thường 600000		600000																
5	Bảo rương Bạch Ngân gia tộc	800	Huyền tinh cấp 8				18	1	1	8	0	0									
6	Bảo rương Hoàng Kim gia tộc	8700	Huyền tinh cấp 8				18	1	1	8	0	0									
6	Bảo rương Hoàng Kim gia tộc	1000	Bạc thường 1000000		1000000																
6	Bảo rương Hoàng Kim gia tộc	300	Huyền tinh cấp 9				18	1	1	9	0	0									
7	Túi quân hưởng	200	Ngưu lan trại yêu bài				20	1	485	1	0	0									
7	Túi quân hưởng	800	Chìa khóa mê cung				20	1	486	1	0	0									
7	Túi quân hưởng	100	Cốt ngọc đồ đằng				20	1	487	1	0	0									
7	Túi quân hưởng	500	Thịt bò				20	1	488	1	0	0									
7	Túi quân hưởng	400	Khảo am thuần				20	1	488	2	0	0									
7	Túi quân hưởng	4500	10000 kinh nghiệm											10000							
7	Túi quân hưởng	1500	300  bạc khóa	300																	
7	Túi quân hưởng	2000	8 Hồn thạch khóa				18	1	205	1	0	0	8					1			
8	Kim sơn nhị thập chu niên khánh điển bao	3879	Huyền tinh cấp 4				18	1	1	4	0	0						1			
8	Kim sơn nhị thập chu niên khánh điển bao	1000	Huyền tinh cấp 5				18	1	1	5	0	0						1			
8	Kim sơn nhị thập chu niên khánh điển bao	100	Huyền tinh cấp 6				18	1	1	6	0	0						1		1	1
8	Kim sơn nhị thập chu niên khánh điển bao	10	Huyền tinh cấp 7				18	1	1	7	0	0						1		1	1
8	Kim sơn nhị thập chu niên khánh điển bao	1	Huyền tinh cấp 8				18	1	1	8	0	0						1		1	1
8	Kim sơn nhị thập chu niên khánh điển bao	3000	Nhị thập tái bách luyện đan				18	1	257	1	0	0							43200		
8	Kim sơn nhị thập chu niên khánh điển bao	10	Bí cảnh địa đồ				18	1	251	1	0	0						1		1	1
8	Kim sơn nhị thập chu niên khánh điển bao	400	Tiên linh nguyên mộc				22	1	35	1	0	0									
8	Kim sơn nhị thập chu niên khánh điển bao	400	Tiên linh quả				22	1	43	1	0	0									
8	Kim sơn nhị thập chu niên khánh điển bao	400	Da linh thú				22	1	37	1	0	0									
8	Kim sơn nhị thập chu niên khánh điển bao	400	Tử tinh nguyên thạch				22	1	41	1	0	0									
8	Kim sơn nhị thập chu niên khánh điển bao	400	Linh thú huyết				22	1	39	1	0	0									
8	Kim sơn nhị thập chu niên khánh điển bao		 Đồng khóa			500												1			
9	Liên đấu lễ bao	4790	Huyền tinh cấp 4				18	1	1	4	0	0						1			
9	Liên đấu lễ bao	3600	Huyền tinh cấp 5				18	1	1	5	0	0						1			
9	Liên đấu lễ bao	1500	Huyền tinh cấp 6				18	1	1	6	0	0						1			
9	Liên đấu lễ bao	100	Huyền tinh cấp 7				18	1	1	7	0	0						1		1	1
9	Liên đấu lễ bao	10	Huyền tinh cấp 8				18	1	1	8	0	0						1		1	1
9	Liên đấu lễ bao		Túi phúc hoàng kim				18	1	80	1	0	0						1			
