Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Vũ Khí Pet		1	5	19	1	10	\image\item\partnerequip\weapon\partner_lv1_1_s.spr	\image\item\partnerequip\weapon\partner_lv1_1.spr	9			0	0	1000000			3	1	equip	0	0	damage_inc_p	5	5					lifemax_p	10	10					deadlystrikedamageenhance_p	5	5																																																						5											
Vũ Khí Pet +1		1	5	19	2	10	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9			0	0	50000000			3	1	equip	0	0	damage_inc_p	10	10					lifemax_p	12	12					deadlystrikedamageenhance_p	10	10																																																						5											
Vũ Khí Pet +2		1	5	19	3	10	\image\item\partnerequip\weapon\partner_lv3_1_s.spr	\image\item\partnerequip\weapon\partner_lv3_1.spr	9			0	0	100000000			3	1	equip	0	0	damage_inc_p	15	15					lifemax_p	14	14					deadlystrikedamageenhance_p	15	15																																																						5											
Vũ Khí Pet +3		1	5	19	4	10	\image\item\partnerequip\dopet\vukhipet4.spr	\image\item\partnerequip\dopet\vukhipet4_v.spr	9			0	0	150000000			3	1	equip	0	0	damage_inc_p	20	20					lifemax_p	16	16					deadlystrikedamageenhance_p	20	20																																																						5											
Vũ Khí Pet +4		1	5	19	5	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	200000000			3	1	equip	0	0	damage_inc_p	25	25					lifemax_p	18	18					deadlystrikedamageenhance_p	25	25																																																						5											
Vũ Khí Pet +5		1	5	19	6	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	250000000			3	1	equip	0	0	damage_inc_p	30	30					lifemax_p	20	20					deadlystrikedamageenhance_p	30	30																																																						5											
Vũ Khí Pet +6		1	5	19	7	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	300000000			3	1	equip	0	0	damage_inc_p	35	35					lifemax_p	22	22					deadlystrikedamageenhance_p	35	35																																																						5											
Vũ Khí Pet +7		1	5	19	8	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	350000000			3	1	equip	0	0	damage_inc_p	40	40					lifemax_p	24	24					deadlystrikedamageenhance_p	40	40																																																						5											
Vũ Khí Pet +8		1	5	19	9	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	400000000			3	1	equip	0	0	damage_inc_p	45	45					lifemax_p	26	26					deadlystrikedamageenhance_p	45	45																																																						5											
Vũ Khí Pet +9		1	5	19	10	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	450000000			3	1	equip	0	0	damage_inc_p	50	50					lifemax_p	28	28					deadlystrikedamageenhance_p	50	50																																																						5											
Vũ Khí Pet +10		1	5	19	11	10	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9			0	0	500000000			3	1	equip	0	0	damage_inc_p	55	55					lifemax_p	30	30					deadlystrikedamageenhance_p	55	55																																																						5											
