EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
wind00																																																				
wind01	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr
wind02	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr
wind03	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr
wind04	fm_vipwind_01_es02.spr	fm_vipwind_01_es02.spr	fm_vipwind_01_es02.spr	fm_vipwind_01_ss02.spr	fm_vipwind_01_ss01.spr	fm_vipwind_01_ss01.spr	fm_vipwind_01_ls02.spr	fm_vipwind_01_ls02.spr	fm_vipwind_01_ls02.spr	fm_vipwind_01_ds02.spr	fm_vipwind_01_ds02.spr	fm_vipwind_01_ds02.spr	fm_vipwind_01_ew.spr	fm_vipwind_01_sw.spr	fm_vipwind_01_lw.spr	fm_vipwind_01_dw.spr	fm_vipwind_01_er.spr	fm_vipwind_01_sr.spr	fm_vipwind_01_lr.spr	fm_vipwind_01_dr.spr	fm_vipwind_01_eb.spr	fm_vipwind_01_sb.spr	fm_vipwind_01_lb.spr	fm_vipwind_01_db.spr					fm_vipwind_01_ea01.spr	fm_vipwind_01_ea02.spr	fm_vipwind_01_sa02.spr	fm_vipwind_01_sa02.spr	fm_vipwind_01_la02.spr	fm_vipwind_01_la02.spr	fm_vipwind_01_da01.spr	fm_vipwind_01_da02.spr	fm_vipwind_01_em.spr	fm_vipwind_01_sm.spr	fm_vipwind_01_lm.spr	fm_vipwind_01_dm.spr	fm_vipwind_01_zz.spr	fm_vipwind_01_jp.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rw.spr	fm_vipwind_01_rr.spr	fm_vipwind_01_ra01.spr	fm_vipwind_01_ra02.spr	fm_vipwind_01_rm.spr	fm_vipwind_01_rb.spr	
wind05	fm_vipwind_01_es02.spr	fm_vipwind_01_es02.spr	fm_vipwind_01_es01.spr	fm_vipwind_01_ss02.spr	fm_vipwind_01_ss01.spr	fm_vipwind_01_ss01.spr	fm_vipwind_01_ls02.spr	fm_vipwind_01_ls01.spr	fm_vipwind_01_ls01.spr	fm_vipwind_01_ds02.spr	fm_vipwind_01_ds01.spr	fm_vipwind_01_ds01.spr	fm_vipwind_01_ew.spr	fm_vipwind_01_sw.spr	fm_vipwind_01_lw.spr	fm_vipwind_01_dw.spr	fm_vipwind_01_er.spr	fm_vipwind_01_sr.spr	fm_vipwind_01_lr.spr	fm_vipwind_01_dr.spr	fm_vipwind_01_eb.spr	fm_vipwind_01_sb.spr	fm_vipwind_01_lb.spr	fm_vipwind_01_db.spr	fm_vipwind_01_ed.spr	fm_vipwind_01_sd.spr	fm_vipwind_01_ld.spr	fm_vipwind_01_dd.spr	fm_vipwind_01_ea01.spr	fm_vipwind_01_ea02.spr	fm_vipwind_01_sa01.spr	fm_vipwind_01_sa02.spr	fm_vipwind_01_la01.spr	fm_vipwind_01_la02.spr	fm_vipwind_01_da01.spr	fm_vipwind_01_da02.spr	fm_vipwind_01_em.spr	fm_vipwind_01_sm.spr	fm_vipwind_01_lm.spr	fm_vipwind_01_dm.spr	fm_vipwind_01_zz.spr	fm_vipwind_01_jp.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rs01.spr	fm_vipwind_01_rw.spr	fm_vipwind_01_rr.spr	fm_vipwind_01_ra01.spr	fm_vipwind_01_ra02.spr	fm_vipwind_01_rm.spr	fm_vipwind_01_rb.spr	fm_vipwind_01_rd.spr
wind06	xianhua_da_es02.spr	xianhua_da_es02.spr	xianhua_da_es01.spr	xianhua_da_ss02.spr	xianhua_da_ss01.spr	xianhua_da_ss01.spr	xianhua_da_ls02.spr	xianhua_da_ls01.spr	xianhua_da_ls01.spr	xianhua_da_ds02.spr	xianhua_da_ds01.spr	xianhua_da_ds01.spr	xianhua_da_ew.spr	xianhua_da_sw.spr	xianhua_da_lw.spr	xianhua_da_dw.spr	xianhua_da_er.spr	xianhua_da_sr.spr	xianhua_da_lr.spr	xianhua_da_dr.spr	xianhua_da_eb.spr	xianhua_da_sb.spr	xianhua_da_lb.spr	xianhua_da_db.spr	xianhua_da_ed.spr	xianhua_da_sd.spr	xianhua_da_ld.spr	xianhua_da_dd.spr	xianhua_da_ea01.spr	xianhua_da_ea02.spr	xianhua_da_sa01.spr	xianhua_da_sa02.spr	xianhua_da_la01.spr	xianhua_da_la02.spr	xianhua_da_da01.spr	xianhua_da_da02.spr	xianhua_da_em.spr	xianhua_da_sm.spr	xianhua_da_lm.spr	xianhua_da_dm.spr	xianhua_da_zz.spr	xianhua_da_jp.spr	xianhua_da_rs01.spr	xianhua_da_rs01.spr	xianhua_da_rs01.spr	xianhua_da_rw.spr	xianhua_da_rr.spr	xianhua_da_ra01.spr	xianhua_da_ra02.spr	xianhua_da_rm.spr	xianhua_da_rb.spr	xianhua_da_rd.spr
wind07	xianhua_zhong_es02.spr	xianhua_zhong_es02.spr	xianhua_zhong_es01.spr	xianhua_zhong_ss02.spr	xianhua_zhong_ss01.spr	xianhua_zhong_ss01.spr	xianhua_zhong_ls02.spr	xianhua_zhong_ls01.spr	xianhua_zhong_ls01.spr	xianhua_zhong_ds02.spr	xianhua_zhong_ds01.spr	xianhua_zhong_ds01.spr	xianhua_zhong_ew.spr	xianhua_zhong_sw.spr	xianhua_zhong_lw.spr	xianhua_zhong_dw.spr	xianhua_zhong_er.spr	xianhua_zhong_sr.spr	xianhua_zhong_lr.spr	xianhua_zhong_dr.spr	xianhua_zhong_eb.spr	xianhua_zhong_sb.spr	xianhua_zhong_lb.spr	xianhua_zhong_db.spr	xianhua_zhong_ed.spr	xianhua_zhong_sd.spr	xianhua_zhong_ld.spr	xianhua_zhong_dd.spr	xianhua_zhong_ea01.spr	xianhua_zhong_ea02.spr	xianhua_zhong_sa01.spr	xianhua_zhong_sa02.spr	xianhua_zhong_la01.spr	xianhua_zhong_la02.spr	xianhua_zhong_da01.spr	xianhua_zhong_da02.spr	xianhua_zhong_em.spr	xianhua_zhong_sm.spr	xianhua_zhong_lm.spr	xianhua_zhong_dm.spr	xianhua_zhong_zz.spr	xianhua_zhong_jp.spr	xianhua_zhong_rs01.spr	xianhua_zhong_rs01.spr	xianhua_zhong_rs01.spr	xianhua_zhong_rw.spr	xianhua_zhong_rr.spr	xianhua_zhong_ra01.spr	xianhua_zhong_ra02.spr	xianhua_zhong_rm.spr	xianhua_zhong_rb.spr	xianhua_zhong_rd.spr
wind08	xianhua_xiao_es02.spr	xianhua_xiao_es02.spr	xianhua_xiao_es01.spr	xianhua_xiao_ss02.spr	xianhua_xiao_ss01.spr	xianhua_xiao_ss01.spr	xianhua_xiao_ls02.spr	xianhua_xiao_ls01.spr	xianhua_xiao_ls01.spr	xianhua_xiao_ds02.spr	xianhua_xiao_ds01.spr	xianhua_xiao_ds01.spr	xianhua_xiao_ew.spr	xianhua_xiao_sw.spr	xianhua_xiao_lw.spr	xianhua_xiao_dw.spr	xianhua_xiao_er.spr	xianhua_xiao_sr.spr	xianhua_xiao_lr.spr	xianhua_xiao_dr.spr	xianhua_xiao_eb.spr	xianhua_xiao_sb.spr	xianhua_xiao_lb.spr	xianhua_xiao_db.spr	xianhua_xiao_ed.spr	xianhua_xiao_sd.spr	xianhua_xiao_ld.spr	xianhua_xiao_dd.spr	xianhua_xiao_ea01.spr	xianhua_xiao_ea02.spr	xianhua_xiao_sa01.spr	xianhua_xiao_sa02.spr	xianhua_xiao_la01.spr	xianhua_xiao_la02.spr	xianhua_xiao_da01.spr	xianhua_xiao_da02.spr	xianhua_xiao_em.spr	xianhua_xiao_sm.spr	xianhua_xiao_lm.spr	xianhua_xiao_dm.spr	xianhua_xiao_zz.spr	xianhua_xiao_jp.spr	xianhua_xiao_rs01.spr	xianhua_xiao_rs01.spr	xianhua_xiao_rs01.spr	xianhua_xiao_rw.spr	xianhua_xiao_rr.spr	xianhua_xiao_ra01.spr	xianhua_xiao_ra02.spr	xianhua_xiao_rm.spr	xianhua_xiao_rb.spr	xianhua_xiao_rd.spr
wind09																																																				
